ENTITY_NAME	ATTRIBUTE_NAME	DOMAIN_NAME	#	Module	A/B/ID/RL/AS	CC/BIE	Business Term	Dictionary Entry Name	Object Class Term Qualifier	Object Class Term	Property Term Qualifier	Property Term	Datatype Qualifiry	Representation Term	Associate Object Class Term Qualifier	Associate Object Class Term	Relation Object Class Term Qualifier	Relation Object Class Term	DESCRIPTION	Card.
PPE ADDITION	ADDITION QUANTITY	QUANTITY	1563	9.PPE	B	BIE	Quantity	PPE Addition_ Transaction Line. Quantity. Quantity	PPE Addition 	Transaction Line		Quantity		Quantity					The quantity of PPE to be added.	1..1
PPE ADDITION	ORIGINAL COST	AMOUNT	1564	9.PPE	B	BIE	Original Cost	PPE Addition_ Transaction Line. Original Cost. Functional Amount	PPE Addition 	Transaction Line		Original Cost		Functional Amount					Original cost of PPE.	1..1
PPE ADDITION	APPROVED	was	1565	9.PPE	AS	BIE	Approved	PPE Addition_ Transaction Line. was. Approved_ Handling	PPE Addition 	Transaction Line		was			Approved	Handling			An approved handling of this entry	0..1
PPE ADDITION	CREATED	was	1566	9.PPE	AS	BIE	Created	PPE Addition_ Transaction Line. was. Created_ Handling	PPE Addition 	Transaction Line		was			Created	Handling			A create handling of this entry	0..1
PPE ADDITION	LAST MODIFIED	was	1567	9.PPE	AS	BIE	Last Modified	PPE Addition_ Transaction Line. was. Last Modified_ Handling	PPE Addition 	Transaction Line		was			Last Modified	Handling			A last modified handling of this entry	0..1
PPE ADDITION	BUSINESS SEGMENT X	TEXT 25	1568	9.PPE	RL	BIE	Business Segment X	PPE Addition_ Transaction Line. X. Business Segment_ List	PPE Addition 	Transaction Line		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
PPE REMOVAL	PPE REMOVAL		1569	9.PPE	A	BIE	PPE Removal	PPE Removal_ Transaction Line. Detail. 	PPE Removal 	Transaction Line		Detail							Contains the details related to PPE removal transactions.	
PPE REMOVAL	REMOVAL ID	IDENTIFIER 60	1570	9.PPE	ID	BIE	PPE Removal ID	PPE Removal_ Transaction Line. ID	PPE Removal 	Transaction Line		Identification		Identifier					The unique identifier for the removal entry.	1..1
PPE REMOVAL	PPE ID	IDENTIFIER 100	1571	9.PPE	RL	BIE	PPE ID	PPE Removal_ Transaction Line. Recorded. PPE Master_ List	PPE Removal 	Transaction Line		Recorded					PPE Master	List	The reference identifier for the PPE. 	1..1
PPE REMOVAL	FISCAL YEAR	YEAR IDENTIFIER	1572	9.PPE	RL	BIE	Fiscal Period	PPE Removal_ Transaction Line. Recorded. Fiscal Period	PPE Removal 	Transaction Line		Recorded						Fiscal Period	"Fiscal year in which the Removal Date occurs. The year shall be shown in four digits as 'YYYY', which is part of the extended format and the 'YYYY-MM-DD' in ISO 8601-1. "	1..1
PPE REMOVAL	TAG NUMBER	TEXT 60	1573	9.PPE	B	BIE	Tag Number	PPE Removal_ Transaction Line. Tag Number. Text	PPE Removal 	Transaction Line		Tag Number		Text					"The tag was commonly used when there was no ERP system to record PPE's state of the whole lifespan. Nowadays, some ERP systems still follow to use it in the business of PPE. The number is usually generated by manual input or is system generated; for example, when there is a PPE, a tag is created correspondingly. And each tag contains either one PPE or several PPEs. However, each PPE has its own PPE ID as a unique identifier. If a tag only has one PPE, the PPE ID is the same as the Tag Number."	0..1
PPE REMOVAL	REMOVAL TYPE NAME	TEXT 60	1574	9.PPE	B	BIE	Type Name	PPE Removal_ Transaction Line. Type Name. Name	PPE Removal 	Transaction Line		Type Name		Name					"Description of the removal type; for example, sale, retirement, disposal or damaged."	1..1
PPE REMOVAL	REMOVAL DATE	DATE	1575	9.PPE	B	BIE	Date	PPE Removal_ Transaction Line. Date. Date	PPE Removal 	Transaction Line		Date		Date					The date that PPE is removed.	1..1
PPE REMOVAL	REMOVAL REASON	TEXT 200	1576	9.PPE	B	BIE	Reason	PPE Removal_ Transaction Line. Reason. Text	PPE Removal 	Transaction Line		Reason		Text					The reason why there is a removal.	1..1
PPE REMOVAL	REMOVAL QUANTITY	QUANTITY	1577	9.PPE	B	BIE	Quantity	PPE Removal_ Transaction Line. Quantity. Quantity	PPE Removal 	Transaction Line		Quantity		Quantity					The reduced quantity of PPE.	1..1
PPE REMOVAL	REMOVAL ORIGINAL COST	AMOUNT	1578	9.PPE	B	BIE	Original Cost	PPE Removal_ Transaction Line. Original Cost. Functional Amount	PPE Removal 	Transaction Line		Original Cost		Functional Amount					The reduced original cost during the removal transaction.	1..1
PPE REMOVAL	REMOVAL ACCUMULATED DEPRECIATION	AMOUNT	1579	9.PPE	B	BIE	Accumulated Depreciation	PPE Removal_ Transaction Line. Accumulated Depreciation. Functional Amount	PPE Removal 	Transaction Line		Accumulated Depreciation		Functional Amount					The reduced accumulated depreciation during the removal transaction.	1..1
PPE REMOVAL	REMOVAL IMPAIRMENT PROVISION	AMOUNT	1580	9.PPE	B	BIE	Impairment Provision	PPE Removal_ Transaction Line. Impairment Provision. Functional Amount	PPE Removal 	Transaction Line		Impairment Provision		Functional Amount					The reduced impairment provision during the removal transaction.	1..1
PPE REMOVAL	REMOVAL RESIDUAL VALUE	AMOUNT	1581	9.PPE	B	BIE	Residual Value	PPE Removal_ Transaction Line. Residual Value. Functional Amount	PPE Removal 	Transaction Line		Residual Value		Functional Amount					The reduced residual value during the removal transaction.	1..1
PPE REMOVAL	REMOVAL CASH PROCEEDS AMOUNT	AMOUNT	1582	9.PPE	B	BIE	Cash Proceeds Amount	PPE Removal_ Transaction Line. Cash Proceeds Amount. Functional Amount	PPE Removal 	Transaction Line		Cash Proceeds Amount		Functional Amount					The amount of cash proceeds received from the removal transaction.	0..1
PPE REMOVAL	REMOVAL NON CASH PROCEEDS AMOUNT	AMOUNT	1583	9.PPE	B	BIE	Non Cash Proceeds Amount	PPE Removal_ Transaction Line. Non Cash Proceeds Amount. Functional Amount	PPE Removal 	Transaction Line		Non Cash Proceeds Amount		Functional Amount					The amount of non-cash proceeds received from the removal transaction.	0..1
PPE REMOVAL	REMOVAL EXPENSE	AMOUNT	1584	9.PPE	B	BIE	Expense	PPE Removal_ Transaction Line. Expense. Functional Amount	PPE Removal 	Transaction Line		Expense		Functional Amount					The expense generated from the removal transaction.	1..1
PPE REMOVAL	UNREALIZED GAIN LOSS AMOUNT	AMOUNT	1585	9.PPE	B	BIE	Unrealized Gain Loss Amount	PPE Removal_ Transaction Line. Unrealized Gain Loss Amount. Functional Amount	PPE Removal 	Transaction Line		Unrealized Gain Loss Amount		Functional Amount					Amount of unrealized gain/loss recorded on the Balance Sheet of removal transaction.	0..1
PPE REMOVAL	REALIZED GAIN LOSS AMOUNT	AMOUNT	1586	9.PPE	B	BIE	Realized Gain Loss Amount	PPE Removal_ Transaction Line. Realized Gain Loss Amount. Functional Amount	PPE Removal 	Transaction Line		Realized Gain Loss Amount		Functional Amount					Amount of realized gain/loss recorded on the Income Statement related to the removal transaction.	0..1
PPE REMOVAL	UNREALIZED GAIN LOSS ACC NUM	GL ACCOUNT NUMBER 100	1587	9.PPE	RL	BIE	Unrealized Gain Loss Account Number	PPE Removal_ Transaction Line. Unrealized Gain Loss. Chart Of Accounts_ Accounting Account	PPE Removal 	Transaction Line		Unrealized Gain Loss					Chart Of Accounts	Accounting Account	The GL account number on which Balance Sheet amount is recorded for unrealized gain/loss. This number is either generated by manual input or generated by the system. 	0..1
PPE REMOVAL	REALIZED GAIN LOSS ACCOUNT NUM	GL ACCOUNT NUMBER 100	1588	9.PPE	RL	BIE	Realized Gain Loss Account Number	PPE Removal_ Transaction Line. Realized Gain Loss. Chart Of Accounts_ Accounting Account	PPE Removal 	Transaction Line		Realized Gain Loss					Chart Of Accounts	Accounting Account	The GL account number on which Income Statement amount is recognized for realized gain/loss. This number is either generated by manual input or generated by the system. 	0..1
PPE REMOVAL	CREATED	was	1589	9.PPE	AS	BIE	Created	PPE Removal_ Transaction Line. was. Created_ Handling	PPE Removal 	Transaction Line		was			Created	Handling			A create handling of this entry	1..1
PPE REMOVAL	APPROVED	was	1590	9.PPE	AS	BIE	Approved	PPE Removal_ Transaction Line. was. Approved_ Handling	PPE Removal 	Transaction Line		was			Approved	Handling			An approved handling of this entry	0..1
PPE REMOVAL	LAST MODIFIED	was	1591	9.PPE	AS	BIE	Last Modified	PPE Removal_ Transaction Line. was. Last Modified_ Handling	PPE Removal 	Transaction Line		was			Last Modified	Handling			A last modified handling of this entry	0..1
PPE REMOVAL	BUSINESS SEGMENT X	TEXT 25	1592	9.PPE	RL	BIE	Business Segment X	PPE Removal_ Transaction Line. X. Business Segment_ List	PPE Removal 	Transaction Line		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
PPE CHANGE	PPE CHANGE		1593	9.PPE	A	BIE	PPE Change	PPE Change_ Transaction Line. Detail. 	PPE Change 	Transaction Line		Detail							"Contains changes in PPE information not related to additions and removals of PPE.  Examples of information changes recorded include: revaluation, historical cost, depreciation method and ownership."	
PPE CHANGE	CHANGE ID	IDENTIFIER 60	1594	9.PPE	ID	BIE	PPE Change ID	PPE Change_ Transaction Line. ID	PPE Change 	Transaction Line		Identification		Identifier					The unique identifier for the change entry.	1..1
PPE CHANGE	PPE ID	IDENTIFIER 100	1595	9.PPE	RL	BIE	PPE ID	PPE Change_ Transaction Line. Recorded. PPE Master_ List	PPE Change 	Transaction Line		Recorded					PPE Master	List	The reference identifier for the PPE. 	1..1
PPE CHANGE	FISCAL YEAR	YEAR IDENTIFIER	1596	9.PPE	RL	BIE	Fiscal Period	PPE Change_ Transaction Line. Recorded. Fiscal Period	PPE Change 	Transaction Line		Recorded						Fiscal Period	"Fiscal year in which the Change Date occurs. The year shall be shown in four digits as 'YYYY', which is part of the extended format and the 'YYYY-MM-DD' in ISO 8601-1. "	1..1
PPE CHANGE	TAG NUMBER	TEXT 60	1597	9.PPE	B	BIE	Tag Number	PPE Change_ Transaction Line. Tag Number. Text	PPE Change 	Transaction Line		Tag Number		Text					"The tag was commonly used when there was no ERP system to record PPE's state of the whole lifespan. Nowadays, some ERP systems still follow to use it in the business of PPE. The number is usually generated by manual input or is system generated; for example, when there is a PPE, a tag is created correspondingly. And each tag contains either one PPE or several PPEs. However, each PPE has its own PPE ID as a unique identifier. If a tag only has one PPE, the PPE ID is the same as the Tag Number."	0..1
PPE CHANGE	CHANGE TYPE NAME	TEXT 60	1598	9.PPE	B	BIE	Type Name	PPE Change_ Transaction Line. Type Name. Name	PPE Change 	Transaction Line		Type Name		Name					"The type of change transaction, except for addition or removal transactions. Examples of type of change include revaluations, changes in historical cost, changes in depreciation method, transfers and changes in status."	1..1
PPE CHANGE	CHANGE DATE	DATE	1599	9.PPE	B	BIE	Date	PPE Change_ Transaction Line. Date. Date	PPE Change 	Transaction Line		Date		Date					The date when the changing transaction happens.	1..1
PPE CHANGE	CHANGE REASON	TEXT 200	1600	9.PPE	B	BIE	Reason	PPE Change_ Transaction Line. Reason. Text	PPE Change 	Transaction Line		Reason		Text					The reason why the changing transaction happens.	1..1
PPE CHANGE	CONTENT BEFORE CHANGE	TEXT 60	1601	9.PPE	B	BIE	Content Before Change	PPE Change_ Transaction Line. Content Before Change. Text	PPE Change 	Transaction Line		Content Before Change		Text					"The content; for example, the method, amount or quantity before changing transaction."	1..1
PPE CHANGE	CONTENT AFTER CHANGE	TEXT 60	1602	9.PPE	B	BIE	Content After Change	PPE Change_ Transaction Line. Content After Change. Text	PPE Change 	Transaction Line		Content After Change		Text					"The content; for example, the method, amount or quantity after changing transaction."	1..1
PPE CHANGE	CREATED	was	1603	9.PPE	AS	BIE	Created	PPE Change_ Transaction Line. was. Created_ Handling	PPE Change 	Transaction Line		was			Created	Handling			A create handling of this entry	1..1
PPE CHANGE	APPROVED	was	1604	9.PPE	AS	BIE	Approved	PPE Change_ Transaction Line. was. Approved_ Handling	PPE Change 	Transaction Line		was			Approved	Handling			An approved handling of this entry	0..1
PPE CHANGE	LAST MODIFIED	was	1605	9.PPE	AS	BIE	Last Modified	PPE Change_ Transaction Line. was. Last Modified_ Handling	PPE Change 	Transaction Line		was			Last Modified	Handling			A last modified handling of this entry	0..1
PPE CHANGE	BUSINESS SEGMENT X	TEXT 25	1606	9.PPE	RL	BIE	Business Segment X	PPE Change_ Transaction Line. X. Business Segment_ List	PPE Change 	Transaction Line		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
PPE DEPARTMENT ALLOCATION	DEPARTMENT ALLOCATION		1607	9.PPE	A	BIE	Department Allocation	PPE Department Allocation_ List. Detail. 	PPE Department Allocation 	List		Detail							"Contains information about how the related expenses are allocated among departments who benefit from using the PPE, especially the depreciation expenses."	
			1608	9.PPE	ID	BIE	Department Allocation ID	PPE Department Allocation_ List. ID	PPE Department Allocation 	List		Identification		Identifier					The unique identifier for this object class	1..1
PPE DEPARTMENT ALLOCATION	PPE ID	IDENTIFIER 100	1609	9.PPE	RL	BIE	PPE ID	PPE Department Allocation_ List. Recorded. PPE Master_ List	PPE Department Allocation 	List		Recorded					PPE Master	List	The reference identifier for the PPE. 	1..1
PPE DEPARTMENT ALLOCATION	DEPRECIATION ALLOCATION PROPORTION	PERCENTAGE	1610	9.PPE	B	BIE	Allocation Proportion	PPE Department Allocation_ List. Allocation Proportion. Percentage	PPE Department Allocation 	List		Allocation Proportion		Percentage					The depreciation allocation proportion of each department.	1..1
PPE DEPARTMENT ALLOCATION	DEPARTMENT CODE	IDENTIFIER 25	1611	9.PPE	RL	BIE	Department Code	PPE Department Allocation_ List. Department. Business Segment_ List	PPE Department Allocation 	List		Department					Business Segment	List	"The code of department rosters; for example, the department name is IT department, the code is 0018. "	1..1
PPE DEPARTMENT ALLOCATION	BUSINESS SEGMENT X	TEXT 25	1612	9.PPE	RL	BIE	Business Segment X	PPE Department Allocation_ List. X. Business Segment_ List	PPE Department Allocation 	List		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
PPE DEPRECIATION METHOD	PPE DEPRECIATION METHOD		1613	9.PPE	A	BIE	PPE Depreciation Method	PPE Depreciation Method_ List. Detail. 	PPE Depreciation Method 	List		Detail							Contains the information of depreciation methods used for PPE depreciation.	
PPE DEPRECIATION METHOD	DEPRECIATION METHOD ID	IDENTIFIER 60	1614	9.PPE	ID	BIE	PPE Depreciation Method ID	PPE Depreciation Method_ List. ID	PPE Depreciation Method 	List		Identification		Identifier					The unique identifier for different depreciation methods. Typically autogenerated by the system.	1..1
PPE DEPRECIATION METHOD	DEPRECIATION METHOD NAME	TEXT 60	1615	9.PPE	B	BIE	Name	PPE Depreciation Method_ List. Name. Name	PPE Depreciation Method 	List		Name		Name					"The name of the depreciation method, for example, depreciation by straight-line method, double-declining-balance depreciation method."	1..1
